user_id,subscription_type,days_active_last_month,playlists_created,artists_followed,songs_liked,churned
f6a9a0e7-5c1a-4d66-a329-f67925276f0b,free,15,2,9,34,1
cb9c94a6-633f-4b1d-835b-5e22b52131a1,premium,12,7,10,20,0
054f224f-8f35-42ea-a2c1-284580bd3861,premium,30,9,8,24,0
76e092d2-fedc-4b36-9563-ca2c0bf51714,free,16,3,8,27,0
a69ad997-5d3e-4f1c-9e52-6babf381f0ac,free,24,1,4,46,0
7d2877b6-3d35-4b40-8cdd-3e35c6a3216b,free,19,1,16,14,0
435cab9a-72bd-4304-9553-c7d13cd45dfa,free,8,0,8,3,0
be926297-8370-4f54-ade8-14ebac697af5,premium,21,3,16,28,0
e4d0f98d-cc77-447f-8594-19a6c85bfccd,premium,17,9,18,8,0
0febca23-0c49-4d5a-af7b-faf2b8e4c787,premium,23,8,6,26,0
f1383e51-96c3-4c66-998b-9b309e69cef7,free,5,6,8,25,1
9c0c352f-77d1-4b63-82cb-d6060aaeb58f,premium,22,9,6,18,0
6955744d-0d1a-452a-9c01-18c10ac90d4f,premium,16,6,12,27,1
9c6c2be9-ab43-4c13-8cae-d9cc3a017488,free,6,6,10,16,1
ce57dc33-d9f1-4f43-ba66-5c970c920e63,free,8,7,13,42,1
a981a99d-15ff-41ef-a895-f00ef31295d6,free,25,0,18,40,1
a0e39b2f-6f82-4a88-852c-5e8ee86dd5f9,free,18,9,10,41,0
767ef04e-3d1a-45b4-9c25-0e846043a6b6,free,25,9,12,49,1
3159c1fa-7e6d-4abd-92d3-25ef6e5da17e,free,12,7,13,19,1
9bf9fa8e-fbd3-4385-85f6-1d0b79dceaf0,free,15,3,12,44,0
f587f1a5-3c46-41af-ad5e-6085e097d44a,premium,27,3,0,39,0
e445f856-3cd9-4c30-8646-13487343aaa2,free,26,3,7,38,0
88df2f1d-ec72-401b-a9ee-ed8332f692bf,free,9,5,11,48,1
659b2074-65e0-413f-90df-e394569aa707,free,13,6,18,22,1
231a9e6e-782e-46f2-b0bb-7f8e4e27dfb8,free,26,5,11,46,0
ccb32729-2c18-4bcc-b7d7-5e9d87ddd34b,premium,15,0,7,31,0
0f45b908-efdb-4b43-97e7-b0c5c4d7f0ad,free,10,7,7,46,0
23d97e03-26e3-40ca-bbe3-e10e82ab9feb,free,16,9,12,32,0
07e48f72-64bb-4c66-a4a8-126febe5bf5e,free,7,6,11,45,1
b45d38d1-c516-423f-9fa1-6cf7789d737d,free,17,5,15,4,0
2c44378a-0aa4-4483-a2d3-1412d1424a79,premium,23,5,0,42,0
7527b415-d510-4dea-89ac-bafaa76a88a4,free,26,4,12,47,0
4a7d8bd3-0b75-4862-a271-df52da85c860,free,21,5,6,33,1
0f11cca2-73fe-4bba-8a63-85dd39f9b147,premium,22,8,4,39,0
95eb82e1-eb28-44ea-9402-dbf2463896d9,premium,26,9,7,10,1
936f6dc6-8588-482c-a662-cd6b7083d4d6,premium,7,8,13,49,0
4378599d-1e8b-4b59-8c31-d317e1a8af60,free,14,9,12,2,0
ab15716d-c7d5-4cfc-8473-2939add58114,free,15,7,14,32,0
25e6925f-7b7b-4e4b-bc43-f759f2aecbf4,premium,21,9,16,10,0
e230fc07-205c-49fb-b257-35a9e24a0f60,free,7,8,14,15,0
51a16fc8-930b-4f78-8627-86ced76ff9e3,free,9,9,19,17,1
60f82789-8652-45ad-8627-898d563c68c6,free,19,7,17,29,1
8e337956-852e-4d19-bb8f-0e1cdb0e2d61,free,16,7,17,47,1
d90c23ba-997a-42a8-90a0-a163b6264905,premium,8,0,1,9,0
9e95b6cb-78f6-4cc6-83e3-6b68465127b9,free,18,9,3,17,1
37318616-450d-485f-b3a0-1538b2a4040c,premium,27,4,0,37,0
c0ccd2aa-fcb4-4f15-a4b2-f78419778107,free,23,3,3,18,0
72fb5f52-8d7f-4ad7-a0e1-caf28b4bf9ed,free,29,1,17,35,0
efed41e4-ebca-458a-9b74-1224187093c9,free,18,7,4,12,0
9390ce9b-2dc5-4b79-88fb-230aa3deab7e,free,30,2,18,45,1
0d7f556f-7bf3-47aa-87ac-c0dad5f49320,premium,20,3,14,2,0
670614c5-9da9-423a-9cda-fedc93334d01,premium,7,6,7,9,0
cd637fe3-b1c7-4577-ac9b-d5b6727da5b8,premium,3,9,19,37,1
d7b10c0d-e934-4803-8b5c-1fcf2d59afb1,premium,18,8,16,0,0
911ff3b4-64c8-4faf-9f0f-dd3c37693d00,free,27,1,0,26,0
e8d8100c-2ed0-404d-b88b-2c1d5c4de64c,premium,10,2,11,45,0
43e8976c-5627-4fae-b911-5200bddd7fe9,free,7,3,18,7,1
343b3123-6ebd-4ec6-a929-b0ed2b48ea45,free,17,9,14,45,1
278a3c03-ea0a-47d0-9745-3b8334cb1d07,free,14,0,8,41,0
66485d34-945c-4dab-a622-2866c95abbc5,free,24,6,6,16,0
e7685065-35b8-4e38-8a0a-22af78acd231,free,3,1,1,8,0
3567e00c-acbb-43e3-84fc-f8f79a0acd3b,free,12,4,8,5,1
